date,url,sha256,bytes,rows_country
20230601,http://data.gdeltproject.org/events/20230601.export.CSV.zip,180e58cadb081dd51b5bacf7c0c00923492612ff73ecced3fa1fbe33a2ec0b37,11567241,5796
20230602,http://data.gdeltproject.org/events/20230602.export.CSV.zip,fae2e5e4aac72e3a9ab9824d121314727af034a0578d21498cddb2ef418d2b17,10729543,5188
20230603,http://data.gdeltproject.org/events/20230603.export.CSV.zip,b9879f3537a59e238525c8e70dec904c77495fe4d19b5b2c1677f3f48a058903,5994270,2966
20230604,http://data.gdeltproject.org/events/20230604.export.CSV.zip,df0439509cc164ba253ddd2ec2f5f819ea3aeee546d559023aa1fcaef99a8a11,5441741,3161
20230605,http://data.gdeltproject.org/events/20230605.export.CSV.zip,2139f1099036e8a9cb837debbc4e97c6468b463ef01481aff9b012369179de10,9595846,5053
20230606,http://data.gdeltproject.org/events/20230606.export.CSV.zip,525cbadd9daa18f71a62046385a9eccca010ae24f76798b9589d9ec9e564e98f,10964213,6691
20230607,http://data.gdeltproject.org/events/20230607.export.CSV.zip,a193171bf5d1cc30d22c59ccfd59426757537c734a7566942fbb91b002bd0134,11204767,5836
20230608,http://data.gdeltproject.org/events/20230608.export.CSV.zip,cceb8a98b2a9f796467b06e4fb0d608e7a836b895c476f8dab93a23846858615,11306771,5582
20230609,http://data.gdeltproject.org/events/20230609.export.CSV.zip,a002c40fa467a27d8db9b2478fb062f4e1e94d2674ba7b7b0b048b905e94c0bd,10507371,5462
20230610,http://data.gdeltproject.org/events/20230610.export.CSV.zip,e9f20d476c387ca3ce60f24f6e98942211cec47b3668b613b4d561abf22ef1ab,6144432,3704
20230611,http://data.gdeltproject.org/events/20230611.export.CSV.zip,29dc07252defe9efbac303a99564464b5aaf7897ffac59d8b30648ee3e75e14d,5149074,2956
20230612,http://data.gdeltproject.org/events/20230612.export.CSV.zip,80e0b2afe404017c48dda1737dab69a0233c7741a1164654d009f9a5552ef6c3,9470022,4987
20230613,http://data.gdeltproject.org/events/20230613.export.CSV.zip,719489f691c44caa94bbec474eb965793d912f1ffa38c29e9c9cdf5df77eb257,10528592,4994
20230614,http://data.gdeltproject.org/events/20230614.export.CSV.zip,e2fe1f9f7cbe220e80e0d63159289511f6568e346abc2e0c49267831af2d102a,11168677,5272
20230615,http://data.gdeltproject.org/events/20230615.export.CSV.zip,662dc2f15ccda3d84cb3319c98b464e9a68074d25b0af5c1bd610aba044787b4,11168017,5122
20230616,http://data.gdeltproject.org/events/20230616.export.CSV.zip,764d1d4131489e0d177df0c38dfa36313cafd3dc79a97ec7ab0ea42919980f8e,10513927,5594
20230617,http://data.gdeltproject.org/events/20230617.export.CSV.zip,57cc3028ccdbc42716a566672e67a3acfc6455187f02dbc3bfdf9ab7d2a24aa8,6334228,3945
20230618,http://data.gdeltproject.org/events/20230618.export.CSV.zip,4fa1f49c978176cf91efb6950aa4e1ea96add02692bb1a514ab8da2f893d9273,5359143,3144
20230619,http://data.gdeltproject.org/events/20230619.export.CSV.zip,7734a6fc54f8366532ac379b1b1da050edb3c13db5e0d15a79a2458c0d94440b,9188332,4471
